frame,preprocessing,edge_detection,hough_voting,postprocessing,total
1.0,0.14505761499822256,0.13686909099851619,0.008922163000534056,0.009472400000959169,0.3807713269998203
2.0,0.12348791499971412,0.12040820399852237,0.012128520000260323,0.009524480003165081,0.39511869799753185
3.0,0.13002422299905447,0.1163240149980993,0.008075262001511874,0.011325259001750965,0.34431820800091373
4.0,0.12600942100107204,0.11669167699801619,0.009457593001570785,0.010213285000645556,0.3330203719997371
5.0,0.13803886999812676,0.13344575200244435,0.014008172998728696,0.013233941001089988,0.3699764570010302
6.0,0.129975949999789,0.11683815200012759,0.008861800997692626,0.005209031001868425,0.33998015099859913
7.0,0.13024140200286638,0.11982181100029266,0.01114534500084119,0.008854962001350941,0.35095732099944144
8.0,0.13669611599834752,0.11746834800214856,0.009059414001967525,0.008893448000890203,0.3501172529977339
9.0,0.12563942500128178,0.11456039100085036,0.008038522999413544,0.006658923997747479,0.33226089299932937
10.0,0.1256843070004834,0.11472729299930506,0.00858692399924621,0.009084039000299526,0.3335103839999647
11.0,0.12560554999799933,0.11408685700007482,0.008826905002933927,0.008564081999793416,0.3322496639993915
12.0,0.12491519199829781,0.12199698900076328,0.010721137998189079,0.007811130999471061,0.345255279000412
13.0,0.12621292599942535,0.12867707300028997,0.007981053000548854,0.008382842999708373,0.34916270400208305
14.0,0.1279602389986394,0.12535940700036008,0.008378143000300042,0.01044326799819828,0.3579454890023044
15.0,0.12635741499980213,0.11571121800079709,0.008203502002288587,0.010368051000114065,0.3367318800010253
16.0,0.12547796400031075,0.1149218619975727,0.007914318000985077,0.007242586001666496,0.3343085099986638
17.0,0.1344008699998085,0.11798614199869917,0.007942516000184696,0.010619985001540044,0.3611831929993059
18.0,0.12550005499724648,0.1266408789997513,0.008988388999568997,0.009114304000831908,0.34595003299909877
19.0,0.12826021400178433,0.15709157599849277,0.010094765999383526,0.010849859998415923,0.3849769609987561
20.0,0.19800645699797315,0.11914961299771676,0.010032055997726275,0.010561450999375666,0.4173212780005997
21.0,0.12793921699994826,0.11457384399909643,0.008415020001848461,0.0062952589978522155,0.3343838879991381
22.0,0.12998068099841475,0.11521281400200678,0.008452748999843607,0.009193314999720315,0.33983327800160623
23.0,0.12603785199826234,0.11450666900054784,0.008054627000092296,0.011224044999835314,0.33585346099789604
